Artist ID,Name,Nationality,Gender,Birth Year,Death Year
236,Dotty Attie,American,Female,1938.0,Unknown
238,Carl Auböck,Austrian,Male,1924.0,1993.0
239,Charles Aubry,French,Male,1811.0,1877.0
240,Frank Auerbach,British,Male,1931.0,Unknown
241,Gae Aulenti,Italian,Female,1930.0,2012.0
242,Keith James Aulik,Nationality unknown,Male,Unknown,Unknown
243,George Ault,American,Male,1891.0,1948.0
244,Darrel Austin,American,Male,1907.0,1994.0
245,Irving Austin,American,Male,Unknown,Unknown
246,Mario Avati,Italian,Male,1921.0,2009.0
247,Edward Avedisian,American,Male,1936.0,2007.0
248,Richard Avedon,American,Male,1923.0,2004.0
249,Frances Avery,American,Female,1910.0,2006.0
250,Milton Avery,American,Male,1885.0,1965.0
251,David Avison,American,Male,Unknown,Unknown
252,Mordechai Avniel,Israeli,Male,Unknown,Unknown
254,Kiyoshi Awazu,Japanese,Male,1929.0,2009.0
255,Ay-O,Japanese,Male,1931.0,Unknown
256,Alice Aycock,American,Female,1946.0,Unknown
257,Pierre Ayot,Canadian,Male,1943.0,1995.0
258,Michael Ayrton,British,Male,1921.0,1975.0
259,Luis Cruz Azaceta,American,Male,1942.0,Unknown
260,Umetaro Azechi,Japanese,Male,1902.0,1999.0
261,Kengiro Azuma,Japanese,Male,1926.0,Unknown
262,Johannes Baader,German,Male,1875.0,1955.0
263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),German,Male,1892.0,1927.0
264,Kurt W. Baasch,American,Male,1891.0,1964.0
265,Alice Baber,American,Female,1928.0,1982.0
266,Bacard Fils,French,Male,Unknown,Unknown
268,Edmondo Bacci,Italian,Male,1913.0,1978.0
269,Elvira Bach,German,Female,1951.0,Unknown
270,Olof Backman,Swedish,Male,1899.0,Unknown
271,Olof Backstrom,Finnish,Male,1922.0,Unknown
272,Francis Bacon,British,Male,1909.0,1992.0
273,Peggy Bacon,American,Female,1895.0,1987.0
275,Karl Baden,American,Male,1952.0,Unknown
276,Mowry Thatcher Baden,American,Male,1936.0,Unknown
277,Aquiles Badi,Argentine,Male,1894.0,1976.0
278,Libero Badii,Argentine,Male,1916.0,2001.0
279,Frank Badur,German,Male,1944.0,Unknown
280,Donald Baechler,American,Male,1956.0,Unknown
281,Jo Baer,American,Female,1929.0,Unknown
282,Martin Baer,American,Male,1894.0,1961.0
283,Olle Baertling,Swedish,Male,1911.0,1981.0
284,Myrna Báez,American,Female,1931.0,Unknown
285,John Bageris,American,Male,1924.0,2000.0
286,Heinz Bahr,German,Male,1934.0,Unknown
287,Malcolm Bailey,American,Male,1947.0,2011.0
288,Oscar Bailey,American,Male,1925.0,Unknown
289,William Bailey,American,Male,1930.0,Unknown
290,Larry Bair,American,Male,1952.0,1990.0
291,Eugenie Baizerman,American,Female,1899.0,1949.0
292,Enrico Baj,Italian,Male,1924.0,2003.0
293,E. Bakalowitz Söhne,Austrian,Gender unknown,1845.0,Unknown
294,Carl Baker,American,Male,Unknown,Unknown
296,Mikal Baker,American,Male,1946.0,Unknown
298,Vagrich Bakhchanyan,Russian,Male,1938.0,2009.0
299,Gerhard H. Bakker,American,Male,Unknown,Unknown
300,Léon Bakst,Russian,Male,1866.0,1924.0
301,Gerard Baksteen,Dutch,Male,1887.0,1976.0
302,Amèrico Balán,Argentine,Male,1915.0,1986.0
303,Jirí Balcar,Czech,Male,1929.0,1968.0
304,John Baldessari,American,Male,1931.0,Unknown
305,George Baldessin,Australian,Male,1939.0,1978.0
307,C. Leroy Baldridge,American,Male,1889.0,1975.0
308,Édouard-Denis Baldus,French,Male,1813.0,1882.0
309,Benjamin Baldwin,American,Male,1913.0,1993.0
310,Joost Baljeu,Dutch,Male,1925.0,1991.0
311,Giacomo Balla,Italian,Male,1871.0,1958.0
313,R. Maxil Ballinger,American,Male,1914.0,1958.0
314,Theo H. Ballmer,Swiss,Male,1902.0,1965.0
315,Alexander Bally,American,Male,1938.0,Unknown
316,John F. Balossi,American,Male,1931.0,2007.0
317,Balthus (Baltusz Klossowski de Rola),French,Male,1908.0,2001.0
318,Lewis Baltz,American,Male,1945.0,2014.0
319,Thomas Bamberger,American,Male,1948.0,Unknown
320,McDonald (Mackey Jeffries) Bane,American,Female,1928.0,Unknown
321,Colette Bangert,American,Female,1934.0,Unknown
322,Walter Darby Bannard,American,Male,1934.0,2016.0
323,John Banting,British,Male,1902.0,1972.0
324,Rudolf Baranik,American,Male,1920.0,1998.0
325,Vladimir Baranoff-Rossiné,Ukrainian,Male,1888.0,1944.0
327,Anthony Barboza,American,Male,1944.0,Unknown
329,Miquel Barcelo,Spanish,Male,1957.0,Unknown
330,Peter Bardazzi,American,Male,1943.0,Unknown
331,J. Baric,French,Male,1825.0,1905.0
332,Richard Baringer,American,Male,1921.0,1980.0
333,George Barker,Australian,Male,1942.0,Unknown
334,Walter William Barker,American,Male,1921.0,2004.0
